"Item","Qty","Reference(s)","Value","manf#"
"1","1","AE1","Antenna","-"
"2","1","C1","0.1uF","0603YG104ZAT2A"
"3","1","C2","47pF","0603CG470J500NT"
"4","3","C3, C4, C5","10uF","GRM188R61C106MA73D"
"5","1","D2","MBR120","MBR120LSF"
"6","1","D4","CHR","NCD0805G1"
"7","1","D5","D13","BL-HB335A-TRE"
"8","1","J1","USB_B_Micro","U254-051N-4BH806"
"9","1","J2","Conn_Right","-"
"10","1","J3","Conn_Left","-"
"11","1","J4","Conn_Battery","-"
"12","1","J5","SWD",""
"13","1","Q1","DMG3415U-7","DMG3415UQ-7"
"14","2","R1, R2","100K","RC0603FR-07100KL"
"15","1","R3","1M","RC0603JR-071ML"
"16","1","R4","1.5M","RC0603JR-071M5L"
"17","1","R6","4.7K","RS-03K4701FT"
"18","2","R8, R9","330","RC0603FR-07330RL"
"19","2","R10, R11","10K","RC0603JR-0710KL"
"20","1","SW1","RST","TS-1187A-C-C-B"
"21","1","U1","RAK4260","-"
"22","1","U2","AP2112K-3.3TRG1","AP2112K-3.3TRG1"
"23","1","U3","ATECC608A-TNGLORA","ATECC608A-MAHCZ-T"
"24","1","U5","MCP73831-3-OT","MCP73831T-5ACI/OT"
